Crop_Recommended,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status,Crop_Recommended_enc,Soil_Health_Class_enc,Nutrient_Deficiencies_enc,Soil_Fertility_Status_enc
Rice,81.05,Excellent,None,Fertile,5,0,4,0
Maize,82.27,Excellent,Phosphorus,Moderately Fertile,3,0,5,2
Cotton,75.59,Good,None,Fertile,0,1,4,0
Rice,79.22,Good,Potassium,Moderately Fertile,5,1,7,2
Jute,78.03,Good,Potassium,Moderately Fertile,2,1,7,2
Soybean,91.48,Excellent,None,Fertile,6,0,4,0
Wheat,74.29,Good,Potassium,Moderately Fertile,9,1,7,2
Soybean,90.52,Excellent,None,Fertile,6,0,4,0
Soybean,88.61,Excellent,None,Fertile,6,0,4,0
Soybean,85.65,Excellent,None,Fertile,6,0,4,0
Groundnut,83.18,Excellent,None,Fertile,1,0,4,0
Potato,74.48,Good,None,Fertile,4,1,4,0
Sugarcane,62.18,Good,"Nitrogen, Phosphorus",Infertile,7,1,1,1
Potato,64.68,Good,Nitrogen,Moderately Fertile,4,1,0,2
Cotton,77.18,Good,Phosphorus,Moderately Fertile,0,1,5,2
Tomato,86.25,Excellent,None,Fertile,8,0,4,0
Rice,92.35,Excellent,None,Fertile,5,0,4,0
Tomato,65.19,Good,Potassium,Moderately Fertile,8,1,7,2
Cotton,89.05,Excellent,None,Fertile,0,0,4,0
Wheat,79.78,Good,None,Fertile,9,1,4,0
Soybean,90.0,Excellent,None,Fertile,6,0,4,0
Wheat,89.92,Excellent,None,Fertile,9,0,4,0
Wheat,58.73,Moderate,"Nitrogen, Potassium",Infertile,9,2,3,1
Groundnut,79.56,Good,None,Fertile,1,1,4,0
Jute,62.31,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Maize,72.93,Good,Phosphorus,Moderately Fertile,3,1,5,2
Soybean,76.49,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Jute,77.46,Good,None,Fertile,2,1,4,0
Maize,78.01,Good,Phosphorus,Moderately Fertile,3,1,5,2
Soybean,85.39,Excellent,None,Fertile,6,0,4,0
Jute,79.52,Good,Phosphorus,Moderately Fertile,2,1,5,2
Wheat,81.6,Excellent,None,Fertile,9,0,4,0
Wheat,78.87,Good,None,Fertile,9,1,4,0
Sugarcane,79.58,Good,None,Fertile,7,1,4,0
Tomato,70.19,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Groundnut,80.26,Excellent,Potassium,Moderately Fertile,1,0,7,2
Maize,67.42,Good,Potassium,Moderately Fertile,3,1,7,2
Soybean,73.19,Good,"Nitrogen, Phosphorus",Infertile,6,1,1,1
Maize,81.95,Excellent,None,Fertile,3,0,4,0
Groundnut,52.38,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Soybean,87.27,Excellent,None,Fertile,6,0,4,0
Tomato,70.01,Good,Nitrogen,Moderately Fertile,8,1,0,2
Sugarcane,85.34,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Potato,87.84,Excellent,None,Fertile,4,0,4,0
Maize,62.34,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Soybean,76.92,Good,Phosphorus,Moderately Fertile,6,1,5,2
Sugarcane,81.83,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Rice,80.54,Excellent,Nitrogen,Moderately Fertile,5,0,0,2
Groundnut,53.71,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Sugarcane,75.28,Good,Nitrogen,Moderately Fertile,7,1,0,2
Potato,80.04,Excellent,Phosphorus,Moderately Fertile,4,0,5,2
Sugarcane,69.62,Good,Phosphorus,Moderately Fertile,7,1,5,2
Cotton,78.64,Good,None,Fertile,0,1,4,0
Wheat,73.03,Good,None,Fertile,9,1,4,0
Tomato,73.15,Good,Nitrogen,Moderately Fertile,8,1,0,2
Sugarcane,71.48,Good,Potassium,Moderately Fertile,7,1,7,2
Jute,78.25,Good,Nitrogen,Moderately Fertile,2,1,0,2
Cotton,89.02,Excellent,None,Fertile,0,0,4,0
Sugarcane,76.86,Good,Potassium,Moderately Fertile,7,1,7,2
Soybean,65.47,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Tomato,81.43,Excellent,None,Fertile,8,0,4,0
Soybean,75.41,Good,Potassium,Moderately Fertile,6,1,7,2
Cotton,62.78,Good,"Nitrogen, Potassium",Infertile,0,1,3,1
Sugarcane,66.87,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Wheat,79.24,Good,None,Fertile,9,1,4,0
Sugarcane,90.55,Excellent,None,Fertile,7,0,4,0
Groundnut,50.26,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,1,2,2,1
Jute,68.76,Good,Nitrogen,Moderately Fertile,2,1,0,2
Tomato,67.44,Good,"Nitrogen, Phosphorus",Infertile,8,1,1,1
Jute,84.63,Excellent,None,Fertile,2,0,4,0
Cotton,81.89,Excellent,Potassium,Moderately Fertile,0,0,7,2
Soybean,80.08,Excellent,Potassium,Moderately Fertile,6,0,7,2
Wheat,86.77,Excellent,None,Fertile,9,0,4,0
Jute,64.81,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Potato,52.93,Moderate,"Phosphorus, Potassium",Infertile,4,2,6,1
Maize,69.76,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Jute,90.93,Excellent,None,Fertile,2,0,4,0
Soybean,85.97,Excellent,Potassium,Moderately Fertile,6,0,7,2
Maize,72.21,Good,Phosphorus,Moderately Fertile,3,1,5,2
Groundnut,69.29,Good,Nitrogen,Moderately Fertile,1,1,0,2
Groundnut,66.32,Good,Potassium,Moderately Fertile,1,1,7,2
Maize,78.8,Good,None,Fertile,3,1,4,0
Wheat,73.06,Good,Potassium,Moderately Fertile,9,1,7,2
Wheat,88.25,Excellent,None,Fertile,9,0,4,0
Jute,80.44,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Soybean,84.57,Excellent,Potassium,Moderately Fertile,6,0,7,2
Sugarcane,67.13,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Tomato,86.93,Excellent,None,Fertile,8,0,4,0
Rice,85.11,Excellent,None,Fertile,5,0,4,0
Soybean,80.09,Excellent,Phosphorus,Moderately Fertile,6,0,5,2
Maize,79.72,Good,None,Fertile,3,1,4,0
Maize,79.96,Good,None,Fertile,3,1,4,0
Wheat,97.13,Excellent,None,Fertile,9,0,4,0
Soybean,78.39,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,78.4,Good,Phosphorus,Moderately Fertile,2,1,5,2
Soybean,89.47,Excellent,None,Fertile,6,0,4,0
Jute,69.28,Good,Nitrogen,Moderately Fertile,2,1,0,2
Tomato,82.75,Excellent,None,Fertile,8,0,4,0
Sugarcane,87.51,Excellent,None,Fertile,7,0,4,0
Soybean,70.48,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Maize,74.29,Good,Potassium,Moderately Fertile,3,1,7,2
Jute,60.03,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Maize,64.4,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Soybean,75.7,Good,Potassium,Moderately Fertile,6,1,7,2
Maize,80.42,Excellent,None,Fertile,3,0,4,0
Rice,83.84,Excellent,None,Fertile,5,0,4,0
Maize,80.56,Excellent,Potassium,Moderately Fertile,3,0,7,2
Potato,75.58,Good,Potassium,Moderately Fertile,4,1,7,2
Tomato,73.35,Good,None,Fertile,8,1,4,0
Rice,69.15,Good,Potassium,Moderately Fertile,5,1,7,2
Rice,79.92,Good,Potassium,Moderately Fertile,5,1,7,2
Potato,62.04,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Groundnut,55.45,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Maize,67.23,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Sugarcane,72.75,Good,Phosphorus,Moderately Fertile,7,1,5,2
Cotton,71.24,Good,Potassium,Moderately Fertile,0,1,7,2
Soybean,62.61,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Sugarcane,84.06,Excellent,Potassium,Moderately Fertile,7,0,7,2
Soybean,89.82,Excellent,None,Fertile,6,0,4,0
Groundnut,64.37,Good,Nitrogen,Moderately Fertile,1,1,0,2
Rice,79.59,Good,Phosphorus,Moderately Fertile,5,1,5,2
Rice,78.42,Good,Potassium,Moderately Fertile,5,1,7,2
Maize,81.45,Excellent,Potassium,Moderately Fertile,3,0,7,2
Rice,93.78,Excellent,None,Fertile,5,0,4,0
Cotton,68.85,Good,Potassium,Moderately Fertile,0,1,7,2
Maize,82.27,Excellent,None,Fertile,3,0,4,0
Maize,83.16,Excellent,None,Fertile,3,0,4,0
Tomato,85.11,Excellent,None,Fertile,8,0,4,0
Jute,68.21,Good,Phosphorus,Moderately Fertile,2,1,5,2
Wheat,65.9,Good,"Nitrogen, Phosphorus",Infertile,9,1,1,1
Jute,83.45,Excellent,Potassium,Moderately Fertile,2,0,7,2
Sugarcane,85.36,Excellent,Potassium,Moderately Fertile,7,0,7,2
Groundnut,82.84,Excellent,None,Fertile,1,0,4,0
Tomato,57.82,Moderate,"Nitrogen, Potassium",Infertile,8,2,3,1
Potato,61.1,Good,"Nitrogen, Potassium",Infertile,4,1,3,1
Cotton,79.65,Good,None,Fertile,0,1,4,0
Jute,60.92,Good,"Nitrogen, Phosphorus",Infertile,2,1,1,1
Rice,91.8,Excellent,None,Fertile,5,0,4,0
Potato,62.18,Good,"Nitrogen, Phosphorus",Infertile,4,1,1,1
Maize,89.35,Excellent,None,Fertile,3,0,4,0
Potato,54.35,Moderate,"Phosphorus, Potassium",Infertile,4,2,6,1
Jute,81.58,Excellent,None,Fertile,2,0,4,0
Wheat,81.01,Excellent,Potassium,Moderately Fertile,9,0,7,2
Maize,71.8,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Maize,52.47,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,3,2,2,1
Wheat,67.06,Good,Phosphorus,Moderately Fertile,9,1,5,2
Groundnut,67.63,Good,Nitrogen,Moderately Fertile,1,1,0,2
Wheat,81.88,Excellent,None,Fertile,9,0,4,0
Groundnut,65.96,Good,Nitrogen,Moderately Fertile,1,1,0,2
Rice,85.47,Excellent,None,Fertile,5,0,4,0
Wheat,84.59,Excellent,None,Fertile,9,0,4,0
Groundnut,75.35,Good,Potassium,Moderately Fertile,1,1,7,2
Sugarcane,63.16,Good,"Nitrogen, Potassium",Infertile,7,1,3,1
Cotton,69.64,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Sugarcane,71.09,Good,"Nitrogen, Phosphorus",Infertile,7,1,1,1
Cotton,65.93,Good,"Nitrogen, Potassium",Infertile,0,1,3,1
Sugarcane,87.55,Excellent,None,Fertile,7,0,4,0
Sugarcane,78.63,Good,Nitrogen,Moderately Fertile,7,1,0,2
Cotton,68.55,Good,Phosphorus,Moderately Fertile,0,1,5,2
Wheat,91.12,Excellent,None,Fertile,9,0,4,0
Jute,79.28,Good,Nitrogen,Moderately Fertile,2,1,0,2
Cotton,63.51,Good,Phosphorus,Moderately Fertile,0,1,5,2
Soybean,92.07,Excellent,None,Fertile,6,0,4,0
Maize,91.5,Excellent,None,Fertile,3,0,4,0
Sugarcane,83.28,Excellent,Potassium,Moderately Fertile,7,0,7,2
Jute,72.06,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Potato,75.35,Good,None,Fertile,4,1,4,0
Potato,71.49,Good,None,Fertile,4,1,4,0
Jute,70.67,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Sugarcane,89.04,Excellent,None,Fertile,7,0,4,0
Tomato,86.89,Excellent,None,Fertile,8,0,4,0
Soybean,80.22,Excellent,None,Fertile,6,0,4,0
Sugarcane,83.39,Excellent,Nitrogen,Moderately Fertile,7,0,0,2
Potato,67.25,Good,Potassium,Moderately Fertile,4,1,7,2
Groundnut,59.8,Moderate,"Phosphorus, Potassium",Infertile,1,2,6,1
Groundnut,75.81,Good,Phosphorus,Moderately Fertile,1,1,5,2
Soybean,92.36,Excellent,None,Fertile,6,0,4,0
Potato,57.33,Moderate,"Phosphorus, Potassium",Infertile,4,2,6,1
Potato,76.74,Good,None,Fertile,4,1,4,0
Soybean,64.41,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Sugarcane,72.87,Good,Phosphorus,Moderately Fertile,7,1,5,2
Wheat,78.16,Good,Nitrogen,Moderately Fertile,9,1,0,2
Groundnut,64.22,Good,Nitrogen,Moderately Fertile,1,1,0,2
Soybean,70.07,Good,Phosphorus,Moderately Fertile,6,1,5,2
Cotton,81.87,Excellent,Potassium,Moderately Fertile,0,0,7,2
Soybean,75.37,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Tomato,73.75,Good,Phosphorus,Moderately Fertile,8,1,5,2
Soybean,90.72,Excellent,None,Fertile,6,0,4,0
Tomato,61.62,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Cotton,86.55,Excellent,None,Fertile,0,0,4,0
Jute,83.16,Excellent,Potassium,Moderately Fertile,2,0,7,2
Rice,78.33,Good,None,Fertile,5,1,4,0
Potato,77.04,Good,None,Fertile,4,1,4,0
Wheat,83.38,Excellent,Potassium,Moderately Fertile,9,0,7,2
Soybean,90.03,Excellent,None,Fertile,6,0,4,0
Wheat,77.43,Good,None,Fertile,9,1,4,0
Maize,86.13,Excellent,None,Fertile,3,0,4,0
Maize,80.96,Excellent,Potassium,Moderately Fertile,3,0,7,2
Sugarcane,92.2,Excellent,None,Fertile,7,0,4,0
Sugarcane,80.2,Excellent,None,Fertile,7,0,4,0
Groundnut,58.24,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Rice,90.39,Excellent,None,Fertile,5,0,4,0
Potato,71.33,Good,Nitrogen,Moderately Fertile,4,1,0,2
Sugarcane,71.04,Good,Potassium,Moderately Fertile,7,1,7,2
Groundnut,77.41,Good,Phosphorus,Moderately Fertile,1,1,5,2
Maize,79.63,Good,Phosphorus,Moderately Fertile,3,1,5,2
Cotton,93.74,Excellent,None,Fertile,0,0,4,0
Jute,71.08,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Tomato,60.19,Good,"Nitrogen, Phosphorus, Potassium",Infertile,8,1,2,1
Sugarcane,85.03,Excellent,None,Fertile,7,0,4,0
Potato,77.92,Good,None,Fertile,4,1,4,0
Rice,63.35,Good,"Nitrogen, Potassium",Infertile,5,1,3,1
Wheat,64.97,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Cotton,92.58,Excellent,None,Fertile,0,0,4,0
Tomato,61.33,Good,"Nitrogen, Potassium",Infertile,8,1,3,1
Potato,69.28,Good,Nitrogen,Moderately Fertile,4,1,0,2
Groundnut,57.46,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Soybean,94.65,Excellent,None,Fertile,6,0,4,0
Potato,76.67,Good,Phosphorus,Moderately Fertile,4,1,5,2
Maize,80.97,Excellent,Potassium,Moderately Fertile,3,0,7,2
Maize,72.04,Good,Potassium,Moderately Fertile,3,1,7,2
Maize,92.88,Excellent,None,Fertile,3,0,4,0
Sugarcane,72.6,Good,Potassium,Moderately Fertile,7,1,7,2
Wheat,83.33,Excellent,None,Fertile,9,0,4,0
Potato,61.29,Good,"Phosphorus, Potassium",Infertile,4,1,6,1
Maize,72.96,Good,Potassium,Moderately Fertile,3,1,7,2
Tomato,67.53,Good,"Phosphorus, Potassium",Infertile,8,1,6,1
Groundnut,70.13,Good,Potassium,Moderately Fertile,1,1,7,2
Soybean,82.43,Excellent,None,Fertile,6,0,4,0
Tomato,69.11,Good,Potassium,Moderately Fertile,8,1,7,2
Groundnut,82.77,Excellent,None,Fertile,1,0,4,0
Jute,81.52,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Maize,87.61,Excellent,None,Fertile,3,0,4,0
Potato,81.75,Excellent,None,Fertile,4,0,4,0
Tomato,71.34,Good,Potassium,Moderately Fertile,8,1,7,2
Sugarcane,83.56,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Rice,92.78,Excellent,None,Fertile,5,0,4,0
Potato,57.51,Moderate,"Nitrogen, Potassium",Infertile,4,2,3,1
Groundnut,68.26,Good,Nitrogen,Moderately Fertile,1,1,0,2
Jute,74.92,Good,Potassium,Moderately Fertile,2,1,7,2
Cotton,89.32,Excellent,None,Fertile,0,0,4,0
Maize,81.08,Excellent,None,Fertile,3,0,4,0
Wheat,67.36,Good,Phosphorus,Moderately Fertile,9,1,5,2
Groundnut,78.13,Good,Phosphorus,Moderately Fertile,1,1,5,2
Cotton,75.58,Good,Phosphorus,Moderately Fertile,0,1,5,2
Groundnut,76.79,Good,None,Fertile,1,1,4,0
Potato,61.58,Good,"Nitrogen, Phosphorus",Infertile,4,1,1,1
Sugarcane,76.72,Good,None,Fertile,7,1,4,0
Soybean,79.83,Good,None,Fertile,6,1,4,0
Jute,78.19,Good,Phosphorus,Moderately Fertile,2,1,5,2
Cotton,89.65,Excellent,None,Fertile,0,0,4,0
Maize,67.11,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Jute,81.38,Excellent,None,Fertile,2,0,4,0
Cotton,89.76,Excellent,None,Fertile,0,0,4,0
Cotton,79.44,Good,Potassium,Moderately Fertile,0,1,7,2
Groundnut,89.68,Excellent,None,Fertile,1,0,4,0
Potato,87.5,Excellent,None,Fertile,4,0,4,0
Soybean,72.57,Good,Nitrogen,Moderately Fertile,6,1,0,2
Jute,73.97,Good,"Phosphorus, Potassium",Infertile,2,1,6,1
Rice,68.68,Good,Phosphorus,Moderately Fertile,5,1,5,2
Groundnut,56.67,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Cotton,74.72,Good,Potassium,Moderately Fertile,0,1,7,2
Sugarcane,68.95,Good,Potassium,Moderately Fertile,7,1,7,2
Maize,86.69,Excellent,None,Fertile,3,0,4,0
Wheat,71.77,Good,Phosphorus,Moderately Fertile,9,1,5,2
Cotton,71.43,Good,Phosphorus,Moderately Fertile,0,1,5,2
Wheat,84.11,Excellent,Potassium,Moderately Fertile,9,0,7,2
Jute,77.33,Good,Phosphorus,Moderately Fertile,2,1,5,2
Tomato,76.77,Good,Potassium,Moderately Fertile,8,1,7,2
Sugarcane,81.92,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Jute,77.48,Good,Phosphorus,Moderately Fertile,2,1,5,2
Tomato,55.95,Moderate,"Nitrogen, Potassium",Infertile,8,2,3,1
Sugarcane,70.78,Good,"Nitrogen, Phosphorus",Infertile,7,1,1,1
Soybean,91.18,Excellent,None,Fertile,6,0,4,0
Soybean,70.5,Good,Nitrogen,Moderately Fertile,6,1,0,2
Soybean,81.12,Excellent,None,Fertile,6,0,4,0
Groundnut,74.59,Good,None,Fertile,1,1,4,0
Soybean,74.5,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,73.29,Good,Nitrogen,Moderately Fertile,2,1,0,2
Jute,67.23,Good,Phosphorus,Moderately Fertile,2,1,5,2
Potato,77.53,Good,None,Fertile,4,1,4,0
Groundnut,76.34,Good,None,Fertile,1,1,4,0
Jute,68.86,Good,Potassium,Moderately Fertile,2,1,7,2
Sugarcane,72.38,Good,Potassium,Moderately Fertile,7,1,7,2
Wheat,87.49,Excellent,None,Fertile,9,0,4,0
Groundnut,52.13,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Jute,76.53,Good,Phosphorus,Moderately Fertile,2,1,5,2
Sugarcane,75.14,Good,Nitrogen,Moderately Fertile,7,1,0,2
Cotton,85.23,Excellent,None,Fertile,0,0,4,0
Cotton,83.46,Excellent,None,Fertile,0,0,4,0
Wheat,73.36,Good,Potassium,Moderately Fertile,9,1,7,2
Cotton,87.56,Excellent,None,Fertile,0,0,4,0
Tomato,74.9,Good,Potassium,Moderately Fertile,8,1,7,2
Maize,88.74,Excellent,None,Fertile,3,0,4,0
Maize,71.03,Good,Phosphorus,Moderately Fertile,3,1,5,2
Potato,83.32,Excellent,None,Fertile,4,0,4,0
Rice,85.72,Excellent,None,Fertile,5,0,4,0
Tomato,75.24,Good,Phosphorus,Moderately Fertile,8,1,5,2
Groundnut,79.21,Good,Phosphorus,Moderately Fertile,1,1,5,2
Sugarcane,73.42,Good,Nitrogen,Moderately Fertile,7,1,0,2
Maize,75.95,Good,Phosphorus,Moderately Fertile,3,1,5,2
Groundnut,66.35,Good,Nitrogen,Moderately Fertile,1,1,0,2
Tomato,80.38,Excellent,Phosphorus,Moderately Fertile,8,0,5,2
Potato,89.89,Excellent,None,Fertile,4,0,4,0
Tomato,49.1,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,8,2,2,1
Potato,55.0,Moderate,"Nitrogen, Potassium",Infertile,4,2,3,1
Wheat,87.4,Excellent,Potassium,Moderately Fertile,9,0,7,2
Tomato,79.2,Good,None,Fertile,8,1,4,0
Jute,79.1,Good,Phosphorus,Moderately Fertile,2,1,5,2
Potato,77.53,Good,None,Fertile,4,1,4,0
Sugarcane,67.59,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Sugarcane,77.37,Good,Potassium,Moderately Fertile,7,1,7,2
Potato,72.35,Good,None,Fertile,4,1,4,0
Potato,72.03,Good,None,Fertile,4,1,4,0
Wheat,75.27,Good,Potassium,Moderately Fertile,9,1,7,2
Cotton,84.51,Excellent,None,Fertile,0,0,4,0
Potato,70.58,Good,Potassium,Moderately Fertile,4,1,7,2
Jute,82.03,Excellent,None,Fertile,2,0,4,0
Tomato,59.09,Moderate,"Nitrogen, Phosphorus",Infertile,8,2,1,1
Potato,59.38,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Jute,84.07,Excellent,Phosphorus,Moderately Fertile,2,0,5,2
Wheat,63.06,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Maize,81.45,Excellent,Potassium,Moderately Fertile,3,0,7,2
Sugarcane,80.8,Excellent,None,Fertile,7,0,4,0
Potato,71.05,Good,Nitrogen,Moderately Fertile,4,1,0,2
Rice,85.64,Excellent,None,Fertile,5,0,4,0
Groundnut,70.48,Good,Phosphorus,Moderately Fertile,1,1,5,2
Soybean,62.38,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Tomato,73.49,Good,Nitrogen,Moderately Fertile,8,1,0,2
Soybean,75.95,Good,Potassium,Moderately Fertile,6,1,7,2
Rice,80.29,Excellent,None,Fertile,5,0,4,0
Soybean,70.97,Good,Phosphorus,Moderately Fertile,6,1,5,2
Maize,78.69,Good,None,Fertile,3,1,4,0
Sugarcane,60.85,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Jute,82.05,Excellent,None,Fertile,2,0,4,0
Maize,74.5,Good,Potassium,Moderately Fertile,3,1,7,2
Maize,54.94,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,3,2,2,1
Potato,77.69,Good,None,Fertile,4,1,4,0
Jute,67.41,Good,Phosphorus,Moderately Fertile,2,1,5,2
Wheat,84.79,Excellent,Phosphorus,Moderately Fertile,9,0,5,2
Jute,68.44,Good,Phosphorus,Moderately Fertile,2,1,5,2
Soybean,66.82,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Wheat,91.02,Excellent,None,Fertile,9,0,4,0
Sugarcane,83.9,Excellent,Potassium,Moderately Fertile,7,0,7,2
Maize,64.18,Good,"Nitrogen, Potassium",Infertile,3,1,3,1
Groundnut,57.37,Moderate,"Nitrogen, Potassium",Infertile,1,2,3,1
Groundnut,54.16,Moderate,"Nitrogen, Phosphorus",Infertile,1,2,1,1
Cotton,88.1,Excellent,None,Fertile,0,0,4,0
Cotton,77.86,Good,None,Fertile,0,1,4,0
Cotton,78.37,Good,Potassium,Moderately Fertile,0,1,7,2
Maize,87.19,Excellent,None,Fertile,3,0,4,0
Sugarcane,81.17,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Potato,74.92,Good,Potassium,Moderately Fertile,4,1,7,2
Jute,74.69,Good,Phosphorus,Moderately Fertile,2,1,5,2
Sugarcane,69.79,Good,Nitrogen,Moderately Fertile,7,1,0,2
Rice,77.04,Good,Potassium,Moderately Fertile,5,1,7,2
Potato,63.48,Good,Nitrogen,Moderately Fertile,4,1,0,2
Cotton,69.45,Good,"Nitrogen, Potassium",Infertile,0,1,3,1
Cotton,67.1,Good,Potassium,Moderately Fertile,0,1,7,2
Wheat,61.88,Good,"Nitrogen, Phosphorus",Infertile,9,1,1,1
Groundnut,65.8,Good,Nitrogen,Moderately Fertile,1,1,0,2
Rice,79.81,Good,None,Fertile,5,1,4,0
Potato,71.68,Good,None,Fertile,4,1,4,0
Rice,67.39,Good,"Nitrogen, Potassium",Infertile,5,1,3,1
Cotton,71.61,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Soybean,90.05,Excellent,None,Fertile,6,0,4,0
Maize,92.83,Excellent,None,Fertile,3,0,4,0
Sugarcane,64.78,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Groundnut,82.45,Excellent,Phosphorus,Moderately Fertile,1,0,5,2
Cotton,81.11,Excellent,Potassium,Moderately Fertile,0,0,7,2
Soybean,89.98,Excellent,None,Fertile,6,0,4,0
Wheat,83.29,Excellent,Potassium,Moderately Fertile,9,0,7,2
Cotton,88.8,Excellent,None,Fertile,0,0,4,0
Soybean,90.08,Excellent,None,Fertile,6,0,4,0
Rice,81.35,Excellent,None,Fertile,5,0,4,0
Maize,85.84,Excellent,Potassium,Moderately Fertile,3,0,7,2
Rice,79.76,Good,Potassium,Moderately Fertile,5,1,7,2
Wheat,85.87,Excellent,None,Fertile,9,0,4,0
Sugarcane,83.51,Excellent,None,Fertile,7,0,4,0
Soybean,79.9,Good,None,Fertile,6,1,4,0
Jute,89.6,Excellent,None,Fertile,2,0,4,0
Soybean,79.81,Good,Potassium,Moderately Fertile,6,1,7,2
Soybean,88.99,Excellent,None,Fertile,6,0,4,0
Sugarcane,64.84,Good,Phosphorus,Moderately Fertile,7,1,5,2
Wheat,72.26,Good,Potassium,Moderately Fertile,9,1,7,2
Jute,75.79,Good,Potassium,Moderately Fertile,2,1,7,2
Soybean,84.8,Excellent,None,Fertile,6,0,4,0
Sugarcane,74.97,Good,Phosphorus,Moderately Fertile,7,1,5,2
Groundnut,73.24,Good,Potassium,Moderately Fertile,1,1,7,2
Maize,76.35,Good,Phosphorus,Moderately Fertile,3,1,5,2
Potato,77.23,Good,None,Fertile,4,1,4,0
Rice,92.57,Excellent,None,Fertile,5,0,4,0
Wheat,69.88,Good,Potassium,Moderately Fertile,9,1,7,2
Wheat,80.87,Excellent,Potassium,Moderately Fertile,9,0,7,2
Rice,85.42,Excellent,None,Fertile,5,0,4,0
Wheat,74.68,Good,Potassium,Moderately Fertile,9,1,7,2
Potato,77.11,Good,Nitrogen,Moderately Fertile,4,1,0,2
Sugarcane,80.04,Excellent,Potassium,Moderately Fertile,7,0,7,2
Soybean,65.42,Good,Nitrogen,Moderately Fertile,6,1,0,2
Wheat,68.95,Good,Potassium,Moderately Fertile,9,1,7,2
Sugarcane,74.41,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Sugarcane,86.74,Excellent,None,Fertile,7,0,4,0
Wheat,80.05,Excellent,None,Fertile,9,0,4,0
Jute,81.47,Excellent,None,Fertile,2,0,4,0
Wheat,81.69,Excellent,None,Fertile,9,0,4,0
Soybean,76.05,Good,Potassium,Moderately Fertile,6,1,7,2
Cotton,82.48,Excellent,Potassium,Moderately Fertile,0,0,7,2
Tomato,85.1,Excellent,None,Fertile,8,0,4,0
Cotton,85.81,Excellent,None,Fertile,0,0,4,0
Jute,71.13,Good,"Nitrogen, Potassium",Infertile,2,1,3,1
Rice,88.68,Excellent,None,Fertile,5,0,4,0
Soybean,81.96,Excellent,None,Fertile,6,0,4,0
Wheat,92.19,Excellent,None,Fertile,9,0,4,0
