Soil_Type,Nitrogen,Phosphorus,Potassium,pH,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Type_enc
Loamy,74.55,78.36,150.14,6.79,1.1,1.1,30.41,44.36,3
Loamy,105.96,57.18,34.78,6.34,0.65,1.08,19.22,45.95,3
Black,135.87,78.06,103.65,7.66,1.59,1.51,18.15,56.32,1
Loamy,78.54,52.88,195.3,6.57,0.84,0.23,32.07,47.52,3
Loamy,77.04,75.24,136.37,7.23,0.93,0.83,19.93,93.79,3
Loamy,118.14,25.21,113.15,6.99,1.1,0.64,20.18,73.12,3
Loamy,51.96,29.16,165.74,7.18,0.64,1.27,32.35,88.43,3
Alluvial,8.67,5.76,173.19,7.37,0.86,0.9,19.83,51.21,0
Sandy,11.65,75.0,170.45,7.02,0.19,0.29,28.92,92.68,4
Black,62.9,9.24,214.82,7.51,1.19,1.2,36.32,65.17,1
Loamy,88.17,33.19,162.96,7.43,1.06,0.16,34.02,66.11,3
Clayey,117.78,68.12,258.15,6.17,1.17,1.21,32.61,85.58,2
Silty,74.81,27.7,19.74,6.82,0.47,0.51,21.4,84.02,5
Alluvial,71.91,89.06,268.03,6.92,1.02,0.41,29.27,78.44,0
Clayey,115.96,28.73,122.82,7.47,1.17,2.2,20.95,67.82,2
Loamy,76.5,53.89,188.51,7.05,1.07,0.96,29.78,90.34,3
Black,85.17,42.05,196.44,8.45,1.45,1.01,34.19,74.44,1
Clayey,2.68,25.73,97.04,8.05,0.8,0.5,24.61,66.1,2
Loamy,115.16,43.48,125.37,6.85,0.48,1.21,19.96,68.81,3
Alluvial,112.52,6.3,63.12,6.12,0.52,0.97,35.24,73.77,0
Alluvial,97.3,17.29,175.72,7.2,0.51,0.9,30.23,80.08,0
Black,12.14,35.0,86.35,7.3,1.73,1.73,28.12,73.33,1
Silty,67.83,27.45,187.89,7.1,0.67,0.81,25.65,66.52,5
Loamy,139.04,4.89,176.68,6.51,0.91,0.19,34.86,72.26,3
Loamy,74.0,30.78,151.69,6.16,1.0,0.71,27.22,63.84,3
Silty,128.76,2.72,180.39,6.91,1.11,0.89,33.06,63.83,5
Clayey,103.59,72.17,156.48,7.28,0.6,1.06,28.19,79.89,2
Loamy,95.37,74.34,167.48,6.04,0.4,0.96,23.39,83.24,3
Clayey,51.26,68.59,203.36,6.44,0.61,1.03,33.85,54.12,2
Silty,109.03,22.41,97.0,7.08,0.49,1.19,25.86,55.4,5
Loamy,137.0,68.17,30.45,7.19,1.13,0.37,31.02,51.96,3
Alluvial,62.63,31.42,43.24,6.5,0.49,0.23,29.9,47.99,0
Black,4.86,21.9,151.58,7.25,1.2,1.22,20.83,64.04,1
Loamy,62.99,80.64,132.54,6.1,0.83,0.8,30.29,69.05,3
Sandy,3.92,9.92,103.89,6.57,0.26,0.24,37.52,60.42,4
Loamy,93.34,42.49,181.54,6.12,0.88,0.15,26.78,91.37,3
Silty,6.14,43.85,275.62,6.77,0.49,0.3,21.13,69.74,5
Black,62.54,20.79,207.88,7.67,1.57,1.1,25.55,92.87,1
Loamy,68.22,34.9,177.54,6.2,1.11,0.83,24.65,81.09,3
Loamy,6.94,40.92,51.43,7.21,0.68,0.7,20.79,40.26,3
Loamy,123.09,2.82,178.47,7.27,1.06,1.33,29.64,69.04,3
Black,55.46,21.1,128.34,7.77,1.53,0.97,31.99,42.64,1
Silty,13.05,47.45,256.57,6.96,1.11,0.81,36.61,89.25,5
Sandy,20.35,36.83,33.12,5.62,0.3,0.27,31.52,69.1,4
Alluvial,12.5,85.41,165.84,7.06,0.83,0.84,21.01,88.32,0
Loamy,90.34,17.81,211.98,6.12,0.89,0.27,37.38,71.33,3
Black,128.48,4.9,244.54,8.43,1.0,1.7,27.95,72.72,1
Alluvial,120.66,29.61,214.45,6.22,0.54,1.09,27.1,94.24,0
Loamy,71.31,27.69,182.22,7.25,0.41,0.95,34.36,53.73,3
Loamy,2.64,36.48,157.56,6.69,0.76,0.34,20.6,64.87,3
Clayey,54.14,80.17,17.12,6.32,0.84,1.22,19.23,84.28,2
Alluvial,8.58,45.85,273.33,7.37,1.14,0.21,37.81,75.76,0
Alluvial,101.32,55.47,200.61,6.17,0.97,1.1,19.71,74.46,0
Alluvial,126.76,66.2,28.02,6.24,0.87,1.46,23.64,55.83,0
Black,60.09,9.04,14.22,8.22,1.57,1.62,26.35,93.48,1
Silty,79.4,29.43,182.22,6.51,0.63,0.59,36.01,56.89,5
Loamy,93.22,57.92,75.09,6.92,0.52,0.86,27.59,76.2,3
Alluvial,6.81,38.37,41.51,7.0,0.73,0.13,37.74,54.5,0
Alluvial,105.08,19.58,70.83,7.09,0.49,0.56,30.81,84.74,0
Clayey,59.25,45.13,183.73,6.57,0.77,2.33,22.62,70.57,2
Black,100.74,75.96,211.28,8.49,1.6,0.89,35.06,49.56,1
Sandy,39.3,5.93,93.78,5.78,0.15,0.11,29.06,49.67,4
Silty,7.85,75.09,273.48,7.21,0.53,1.04,26.17,58.21,5
Sandy,49.81,23.87,256.24,5.97,0.36,0.24,37.05,60.11,4
Silty,120.94,67.22,245.2,6.64,0.59,0.18,18.19,93.15,5
Black,105.22,47.06,52.52,8.49,1.81,1.44,37.93,70.33,1
Black,129.83,56.08,10.23,8.1,1.885,0.66,26.15,77.11,1
Clayey,76.21,74.6,150.37,6.92,0.84,1.48,31.1,50.41,2
Alluvial,106.31,21.87,21.42,7.41,0.68,1.07,20.1,87.97,0
Sandy,57.8,4.2,59.78,7.05,0.23,0.19,36.7,56.27,4
Alluvial,126.67,5.92,34.59,6.11,1.13,0.26,24.48,57.07,0
Silty,91.96,87.16,249.76,6.98,1.07,1.2,30.89,60.45,5
Black,118.49,52.52,46.92,7.54,1.49,1.0,25.37,88.67,1
Loamy,82.31,2.38,229.19,6.65,0.6,0.11,34.85,62.07,3
Sandy,19.15,45.1,229.89,6.42,0.32,0.12,27.24,48.18,4
Sandy,76.66,79.67,34.58,5.56,0.44,0.3,28.91,80.03,4
Alluvial,128.87,31.78,115.52,7.08,0.72,0.76,36.61,71.82,0
Loamy,130.04,36.39,45.51,6.79,0.57,1.33,27.52,54.84,3
Black,109.96,31.18,132.03,8.01,1.49,1.35,29.85,41.98,1
Silty,126.01,8.48,242.31,6.09,1.11,0.73,20.77,41.69,5
Black,87.22,45.43,50.57,7.75,1.6,1.64,35.84,87.81,1
Clayey,128.2,7.42,45.93,8.06,1.41,2.16,34.92,73.41,2
Loamy,119.13,41.14,231.23,6.52,0.74,1.38,37.62,61.33,3
Clayey,68.05,66.89,164.08,7.08,0.87,1.13,35.96,84.58,2
Black,132.22,6.66,231.7,8.36,1.82,0.59,25.26,87.2,1
Loamy,92.06,67.89,153.77,7.49,0.55,1.06,26.64,62.57,3
Alluvial,77.84,68.14,106.17,6.51,0.58,1.35,19.06,60.55,0
Clayey,78.7,44.57,208.47,6.37,1.41,1.37,18.26,57.37,2
Loamy,84.0,57.19,65.34,7.45,0.91,1.45,19.33,63.8,3
Silty,132.75,14.76,130.42,7.19,0.99,0.21,37.77,72.96,5
Loamy,101.72,54.85,222.18,6.36,0.94,0.42,33.16,76.89,3
Silty,9.45,54.03,226.53,6.86,0.44,0.55,23.65,50.12,5
Loamy,110.42,76.54,243.16,6.55,0.48,1.08,21.44,66.75,3
Black,59.42,67.34,104.92,7.61,1.51,1.44,21.33,48.12,1
Loamy,100.46,19.59,82.9,6.15,0.63,1.02,21.44,43.7,3
Alluvial,86.76,34.13,50.06,6.46,0.65,1.17,36.79,70.17,0
Silty,69.72,14.88,25.33,7.16,0.54,0.82,31.83,53.44,5
Alluvial,70.03,13.21,30.06,6.87,0.72,1.25,20.66,58.85,0
Loamy,81.74,29.42,51.31,6.8,0.84,1.24,28.69,88.86,3
Loamy,85.55,62.01,219.65,7.15,0.49,0.68,24.45,83.86,3
Silty,109.21,39.48,167.29,6.47,0.58,0.22,32.89,62.47,5
Loamy,80.92,84.46,59.87,7.22,1.0,1.08,18.61,56.53,3
Loamy,108.14,85.79,55.1,7.03,0.67,0.74,24.73,66.49,3
Sandy,55.3,56.3,188.93,5.76,0.4,0.3,20.71,66.05,4
Silty,109.32,55.24,32.61,6.15,0.41,0.82,22.09,82.69,5
Clayey,73.33,34.73,35.64,6.09,1.23,0.67,29.38,60.6,2
Loamy,127.13,2.23,50.91,6.12,0.65,0.62,34.09,64.43,3
Sandy,14.23,41.53,32.97,6.67,0.13,0.26,25.48,60.62,4
Loamy,120.02,4.63,68.47,6.68,0.7,0.95,37.53,53.31,3
Black,117.64,16.36,267.56,8.24,0.83,1.24,32.06,92.2,1
Alluvial,137.27,32.82,64.1,7.38,0.61,0.54,33.18,91.13,0
Loamy,12.54,66.22,13.4,6.7,0.69,0.98,31.18,83.67,3
Black,130.03,89.17,58.96,7.87,1.41,1.31,20.6,47.17,1
Black,57.94,42.86,166.44,7.9,1.72,1.17,27.24,89.54,1
Sandy,26.59,46.86,268.87,5.62,0.19,0.17,24.27,89.63,4
Alluvial,96.0,22.83,253.62,7.07,0.76,0.56,23.86,80.21,0
Alluvial,62.22,25.26,91.24,6.07,1.15,1.03,32.61,44.89,0
Loamy,60.51,39.9,64.71,6.97,1.15,1.19,35.62,81.23,3
Clayey,95.19,56.99,187.61,6.61,1.13,0.56,32.32,76.09,2
Alluvial,55.44,47.33,16.48,6.53,0.61,0.63,23.98,80.49,0
Loamy,113.31,40.99,154.54,6.88,0.52,0.56,27.1,40.5,3
Loamy,94.51,83.04,124.28,6.91,0.72,1.18,22.4,73.45,3
Silty,59.04,77.89,110.83,6.55,1.04,0.31,26.79,57.81,5
Silty,132.19,12.38,122.01,7.12,0.45,0.64,22.48,84.84,5
Loamy,2.39,22.4,165.47,6.04,0.75,0.97,34.86,68.86,3
Alluvial,77.37,62.86,99.76,7.33,1.02,1.31,33.26,46.63,0
Black,59.76,67.95,65.43,7.35,1.54,0.53,27.35,59.63,1
Loamy,71.42,69.65,141.59,6.83,0.67,0.1,31.57,86.88,3
Sandy,5.27,74.89,49.37,6.69,0.28,0.34,32.27,69.45,4
Sandy,18.09,70.05,91.2,5.83,0.33,0.34,18.06,90.16,4
Alluvial,92.22,70.4,261.73,7.17,0.45,1.0,32.88,57.02,0
Silty,13.79,18.31,244.36,7.43,0.5,0.18,28.45,82.46,5
Alluvial,80.42,66.05,240.91,6.94,1.11,1.2,29.9,83.15,0
Sandy,14.15,17.98,215.84,6.3,0.42,0.34,35.73,75.8,4
Alluvial,102.27,65.35,252.52,6.17,0.99,1.45,35.48,93.79,0
Sandy,123.4,4.09,16.72,5.6,0.49,0.14,23.04,43.91,4
Silty,110.96,59.44,206.39,7.35,0.62,0.72,34.58,88.27,5
Loamy,85.78,85.82,92.41,6.06,0.83,1.37,36.83,92.46,3
Loamy,137.79,14.59,64.74,7.03,0.9,1.48,27.03,61.17,3
Loamy,7.69,4.77,76.63,6.09,0.62,0.91,22.71,83.61,3
Loamy,57.57,10.41,132.13,6.45,0.48,1.49,30.6,58.27,3
Sandy,35.68,57.05,122.82,6.98,0.26,0.07,31.4,63.75,4
Loamy,135.37,27.09,233.98,6.17,0.8,0.26,22.93,63.69,3
Sandy,14.33,34.63,255.08,6.24,0.33,0.09,29.49,80.85,4
Silty,96.78,41.65,104.11,6.01,1.05,0.88,33.43,89.47,5
Clayey,133.18,25.93,189.95,7.11,1.01,0.5,30.89,48.82,2
Loamy,126.58,60.93,16.36,6.58,0.74,1.24,30.99,50.52,3
Black,13.25,80.49,21.22,8.12,1.1,1.36,32.26,55.25,1
Black,93.22,16.8,35.67,7.36,1.07,1.75,36.45,84.57,1
Clayey,13.52,22.55,246.14,6.19,1.1,2.05,24.23,57.97,2
Black,4.52,29.64,25.25,7.99,1.885,0.49,32.74,90.4,1
Clayey,117.45,61.69,148.24,6.99,1.2,2.39,19.0,80.8,2
Clayey,14.61,42.65,132.2,6.3,1.06,1.51,24.35,48.17,2
Black,106.7,3.51,254.57,8.39,0.88,0.56,26.96,42.67,1
Black,88.63,61.56,264.3,7.81,1.33,0.88,20.16,45.46,1
Silty,4.89,73.4,217.72,6.16,1.14,0.99,18.73,83.94,5
Alluvial,64.5,9.85,115.47,7.39,0.49,1.02,27.19,55.79,0
Loamy,116.9,69.67,155.04,6.48,1.06,0.87,18.9,44.24,3
Alluvial,91.77,33.81,211.34,6.58,1.12,0.31,36.25,62.69,0
Alluvial,111.44,54.72,61.49,7.07,1.11,1.46,21.78,55.92,0
Alluvial,105.22,14.17,55.53,6.28,0.94,1.27,31.49,43.9,0
Sandy,54.39,73.39,204.77,7.11,0.43,0.27,23.22,80.1,4
Sandy,55.96,72.23,233.09,7.2,0.21,0.37,29.47,50.46,4
Alluvial,79.34,5.43,72.55,6.27,0.95,1.47,18.44,58.53,0
Clayey,112.54,45.96,232.89,6.27,1.1,1.94,28.67,58.49,2
Loamy,87.18,25.73,268.55,6.33,1.08,1.17,29.96,81.49,3
Loamy,121.38,27.66,192.14,7.1,0.71,1.27,18.52,86.65,3
Black,10.45,67.29,137.95,7.39,1.55,1.41,35.78,57.16,1
Loamy,58.94,28.73,77.83,6.32,0.44,0.62,37.46,55.76,3
Sandy,54.1,22.94,75.27,5.99,0.27,0.16,29.43,58.9,4
Sandy,135.63,22.09,154.43,6.91,0.5,0.33,29.61,58.11,4
Black,64.45,81.67,178.86,7.61,1.68,1.17,34.5,69.99,1
Sandy,92.89,6.37,18.59,7.19,0.49,0.39,18.53,52.34,4
Sandy,58.55,50.79,189.68,6.67,0.34,0.37,29.53,66.63,4
Loamy,139.75,12.44,52.81,7.02,0.56,0.92,19.54,61.91,3
Alluvial,128.92,19.51,133.74,6.87,0.45,0.51,23.43,40.82,0
Black,13.72,56.48,101.66,7.9,1.67,1.39,32.68,72.4,1
Sandy,3.13,81.33,232.19,6.96,0.23,0.16,34.38,71.5,4
Loamy,74.44,6.08,102.95,7.17,0.86,1.1,28.15,58.82,3
Alluvial,94.27,52.4,62.71,7.44,1.13,1.41,20.74,82.5,0
Black,103.86,21.04,94.65,8.43,1.35,1.79,25.28,88.03,1
Loamy,122.24,4.81,153.27,6.33,0.71,0.36,25.14,84.43,3
Loamy,80.27,64.57,184.31,7.09,1.09,0.18,28.06,86.91,3
Sandy,78.74,15.97,29.37,6.08,0.49,0.1,18.9,56.08,4
Black,109.04,74.3,138.2,7.38,0.99,1.22,29.21,90.2,1
Alluvial,79.86,84.53,19.3,6.56,1.2,1.01,27.45,59.44,0
Alluvial,50.87,27.62,196.38,7.27,0.94,1.06,35.9,77.69,0
Loamy,121.14,27.14,116.01,6.83,0.63,1.4,35.49,42.76,3
Loamy,67.37,89.91,78.9,6.16,1.14,0.9,30.21,63.11,3
Loamy,109.41,88.28,267.95,6.66,0.92,0.16,25.91,73.88,3
Clayey,127.56,26.34,209.94,8.13,1.04,1.95,23.78,77.59,2
Alluvial,71.5,81.01,113.24,6.13,1.09,0.17,21.84,79.36,0
Alluvial,125.16,55.82,68.88,6.4,0.85,0.85,22.13,65.75,0
Clayey,59.3,31.54,172.36,6.36,1.48,1.45,36.94,56.45,2
Alluvial,76.22,51.0,180.75,7.2,0.53,0.74,27.01,50.54,0
Sandy,28.08,9.02,275.16,6.11,0.28,0.2,35.42,57.42,4
Silty,76.74,48.59,202.79,6.22,1.07,0.92,22.85,69.42,5
Loamy,6.06,80.79,177.53,7.17,0.69,0.62,22.81,71.25,3
Alluvial,78.0,27.79,59.23,6.07,0.67,0.1,21.08,85.95,0
Loamy,135.01,7.29,273.0,7.47,1.06,0.98,36.91,60.55,3
Alluvial,85.33,24.55,180.31,6.81,0.65,1.03,34.58,73.0,0
Black,94.97,62.75,146.49,7.79,1.7,1.0,31.72,58.11,1
Alluvial,115.84,23.96,89.17,7.2,0.59,0.75,29.51,56.23,0
Silty,14.79,19.52,58.18,6.79,0.72,0.21,19.6,86.63,5
Black,78.37,67.18,273.78,8.04,1.05,1.13,35.94,56.04,1
Loamy,52.2,89.08,207.51,7.39,0.69,1.33,28.41,61.42,3
Clayey,8.64,44.13,28.21,7.22,0.85,0.54,35.87,73.63,2
Loamy,135.19,15.74,28.25,6.51,0.56,1.31,29.94,53.62,3
Black,98.7,35.32,223.87,7.58,1.885,1.66,36.61,59.74,1
Sandy,19.39,52.54,88.68,7.09,0.26,0.28,35.08,79.66,4
Sandy,27.49,47.88,226.37,6.86,0.26,0.27,22.51,51.94,4
Sandy,23.67,73.68,32.01,6.4,0.2,0.07,34.85,92.51,4
Black,99.12,62.31,185.09,7.67,1.73,1.42,32.1,44.53,1
Loamy,59.28,22.92,155.43,7.07,0.79,1.43,36.5,53.6,3
Loamy,124.65,81.47,76.52,7.2,0.93,0.16,20.49,67.69,3
Loamy,113.59,79.62,35.27,6.48,0.47,0.7,28.61,45.63,3
Alluvial,81.93,56.37,213.36,6.51,1.1,1.36,19.26,72.63,0
Clayey,131.06,64.73,56.21,7.78,0.71,1.05,28.46,71.49,2
Loamy,96.97,86.22,180.97,6.7,0.53,0.77,30.12,47.04,3
Sandy,55.15,23.1,51.58,6.67,0.31,0.12,32.76,55.03,4
Loamy,51.81,29.48,52.5,7.3,1.1,1.17,26.84,88.95,3
Loamy,101.71,4.43,52.38,7.42,1.03,0.43,27.85,89.56,3
Loamy,93.39,69.09,14.08,6.99,0.55,0.59,20.33,79.03,3
Loamy,103.92,29.34,111.91,7.46,1.12,1.14,24.4,57.96,3
Loamy,115.18,40.85,16.05,6.17,0.49,1.2,34.25,71.88,3
Loamy,73.46,81.26,106.21,6.45,0.81,1.29,31.03,80.72,3
Alluvial,113.88,16.01,109.49,6.29,1.18,1.19,20.32,92.25,0
Alluvial,64.87,43.18,226.57,6.74,0.95,1.22,26.26,78.31,0
Loamy,113.62,69.58,211.95,6.75,0.45,0.8,26.19,74.74,3
Sandy,75.93,60.11,62.81,6.02,0.46,0.07,35.65,85.57,4
Clayey,55.6,9.13,267.18,6.95,1.48,0.73,27.98,62.52,2
Silty,80.02,49.03,256.37,6.29,1.16,1.26,28.42,93.76,5
Sandy,41.74,27.32,59.02,5.64,0.36,0.35,35.86,75.18,4
Sandy,24.09,61.48,128.43,7.0,0.39,0.37,28.51,70.51,4
Alluvial,103.02,56.69,39.07,6.09,0.74,1.47,22.49,89.8,0
Alluvial,62.94,76.0,213.99,6.8,1.09,0.53,28.6,41.42,0
Alluvial,97.58,52.41,255.32,7.35,0.59,1.48,30.72,69.52,0
Black,87.25,2.02,100.58,7.75,0.91,0.83,21.64,72.04,1
Loamy,124.15,24.42,126.63,6.28,0.72,1.01,22.76,86.06,3
Alluvial,66.17,2.03,131.88,6.23,1.14,0.64,21.13,56.07,0
Sandy,127.55,50.83,125.3,5.93,0.44,0.27,30.09,78.53,4
Loamy,13.13,7.23,195.37,6.13,0.66,0.85,21.33,64.09,3
Alluvial,130.44,30.49,135.13,7.29,0.58,0.41,34.69,82.41,0
Loamy,57.3,77.5,103.32,7.28,0.97,0.86,31.1,42.21,3
Silty,75.1,9.88,119.82,6.38,1.07,0.55,18.07,82.99,5
Alluvial,61.02,70.73,178.89,6.43,1.12,0.44,30.18,52.02,0
Loamy,9.78,83.27,10.12,6.85,1.05,0.64,20.92,79.83,3
Silty,127.1,46.83,236.62,7.39,0.62,0.94,26.46,53.88,5
Alluvial,61.37,37.6,198.29,6.5,1.15,0.49,23.44,40.38,0
Alluvial,76.56,38.89,20.28,6.45,1.06,0.89,22.62,90.62,0
Loamy,60.58,43.35,239.71,6.65,1.09,0.15,30.46,80.52,3
Loamy,87.53,27.9,210.89,7.06,1.13,0.91,30.16,67.57,3
Loamy,2.1,84.13,164.01,6.89,0.72,1.23,28.3,42.31,3
Silty,125.05,23.27,43.29,6.44,0.89,0.95,21.83,54.73,5
Clayey,127.36,6.35,192.62,8.03,0.73,1.52,31.52,74.38,2
Sandy,12.97,68.6,39.82,7.04,0.29,0.36,30.09,77.89,4
Alluvial,121.18,35.16,13.31,6.43,0.86,1.28,27.02,46.43,0
Alluvial,136.48,42.4,24.58,7.08,0.45,0.93,30.06,55.93,0
Alluvial,96.92,47.69,106.72,6.04,1.1,0.46,35.48,81.21,0
Black,125.61,4.37,196.52,7.89,1.01,1.79,36.25,69.26,1
Alluvial,106.55,6.64,252.32,6.69,0.48,0.64,23.78,69.07,0
Black,135.8,29.83,91.48,8.06,1.62,0.97,21.72,79.82,1
Alluvial,111.26,6.77,120.49,6.86,1.04,0.95,24.29,79.17,0
Loamy,70.23,36.89,85.93,7.24,0.8,1.11,27.04,88.68,3
Black,57.71,24.29,131.09,8.09,1.83,1.09,27.9,93.12,1
Alluvial,85.23,22.73,229.45,6.38,0.56,0.31,25.14,91.48,0
Sandy,6.93,32.06,81.28,6.89,0.2,0.26,33.97,91.34,4
Black,13.43,5.32,168.92,7.58,1.4,1.46,35.52,85.7,1
Loamy,123.18,71.34,226.51,6.63,0.98,0.83,27.19,41.07,3
Loamy,12.6,88.02,177.36,6.28,0.5,0.29,28.45,77.03,3
Black,53.57,31.8,130.18,7.73,1.24,0.57,27.56,69.9,1
Sandy,59.35,60.16,254.89,6.76,0.23,0.31,19.09,71.14,4
Loamy,89.2,87.28,78.79,6.2,0.47,0.94,18.68,63.5,3
Alluvial,9.86,59.27,279.34,6.77,0.65,0.78,23.84,74.69,0
Silty,51.15,7.84,125.31,7.41,0.84,0.48,28.45,56.03,5
Sandy,50.99,77.71,234.1,6.66,0.46,0.24,18.4,69.86,4
Sandy,57.83,47.57,218.02,6.14,0.44,0.26,25.21,52.95,4
Alluvial,125.84,89.44,15.07,6.17,0.48,0.96,27.07,79.14,0
Black,59.32,82.22,96.13,8.21,0.82,1.11,21.41,72.41,1
Loamy,62.14,66.6,233.41,6.56,0.94,0.86,20.52,67.2,3
Sandy,44.48,8.92,105.44,5.74,0.1,0.18,27.36,51.53,4
Silty,60.51,12.89,182.13,7.27,1.03,0.5,24.83,58.12,5
Alluvial,11.91,60.01,256.05,7.37,0.92,0.38,36.15,47.46,0
Black,133.85,44.46,262.03,7.76,1.07,1.8,24.71,81.83,1
Black,110.81,27.84,100.7,8.22,1.86,0.74,26.55,46.88,1
Loamy,95.12,80.57,40.06,7.14,0.65,0.98,36.44,50.8,3
Black,69.98,50.29,237.62,7.34,1.09,1.54,20.95,70.12,1
Loamy,139.35,68.94,34.18,7.06,0.75,0.26,27.93,73.81,3
Loamy,132.97,81.0,131.29,6.48,0.96,0.43,18.77,42.67,3
Loamy,63.94,16.03,190.24,6.54,0.42,0.25,34.31,81.39,3
Loamy,137.78,89.06,228.72,6.43,0.55,0.4,30.58,68.6,3
Alluvial,95.67,84.11,114.2,7.42,1.08,0.31,32.32,66.56,0
Silty,59.19,8.15,101.53,6.56,1.13,0.51,23.18,90.61,5
Loamy,112.8,12.73,220.68,6.74,0.84,1.04,18.67,65.04,3
Clayey,4.04,25.33,167.88,7.74,1.3,1.46,36.94,44.11,2
Alluvial,111.67,19.94,265.95,6.94,0.56,0.52,24.82,79.22,0
Sandy,14.9,73.77,224.33,6.66,0.15,0.14,24.85,76.37,4
Loamy,63.06,6.97,247.71,6.51,1.18,0.6,18.4,43.06,3
Loamy,57.63,88.03,206.59,6.39,1.18,0.42,18.24,78.74,3
Sandy,22.17,11.56,91.35,5.62,0.2,0.06,31.1,43.36,4
Sandy,3.51,56.03,47.41,5.54,0.43,0.11,29.59,47.98,4
Black,87.67,56.71,46.51,7.28,1.57,1.36,20.7,76.5,1
Loamy,122.21,32.54,186.42,6.63,0.41,0.31,26.22,52.89,3
Alluvial,135.35,11.1,140.09,7.11,1.03,0.4,30.96,78.6,0
Sandy,101.73,58.28,201.72,5.74,0.41,0.08,25.87,82.56,4
Clayey,51.5,24.28,86.68,7.48,0.98,2.12,26.46,72.27,2
Black,119.81,25.22,68.16,8.32,1.39,0.85,24.95,62.67,1
Sandy,52.02,30.35,256.84,6.38,0.38,0.3,30.74,64.13,4
Sandy,53.59,70.6,210.66,5.82,0.32,0.33,19.74,41.19,4
Loamy,58.78,51.97,95.85,7.31,0.73,1.16,25.49,91.34,3
Black,52.56,65.22,178.57,8.25,1.34,0.75,20.89,49.12,1
Sandy,98.06,29.38,73.21,6.29,0.45,0.34,34.46,83.91,4
Alluvial,129.56,37.04,174.04,6.27,0.58,0.75,29.89,68.32,0
Sandy,41.44,7.6,156.24,6.33,0.16,0.38,20.84,81.35,4
Loamy,9.94,10.18,96.66,6.72,0.68,0.17,34.0,40.54,3
Alluvial,80.35,23.25,114.06,6.47,1.11,0.12,29.72,68.62,0
Black,54.16,8.29,56.33,8.18,1.15,0.58,34.51,42.42,1
Alluvial,118.36,37.59,63.77,6.25,1.0,0.42,24.3,59.73,0
Clayey,66.96,29.86,257.44,7.37,1.24,2.41,18.27,70.18,2
Sandy,41.99,76.36,279.52,6.01,0.32,0.26,34.77,70.66,4
Silty,128.75,54.61,112.77,6.09,0.99,0.67,24.88,55.96,5
Loamy,56.14,16.26,169.04,7.26,0.64,0.84,30.78,51.63,3
Black,84.95,8.65,31.09,7.92,0.9,1.19,28.4,51.94,1
Sandy,46.15,52.49,212.65,6.94,0.35,0.06,19.89,69.08,4
Black,122.25,70.75,16.69,7.94,1.17,0.74,25.51,47.68,1
Clayey,68.99,54.66,132.58,6.66,0.74,2.06,36.41,88.4,2
Loamy,56.21,8.96,159.59,6.71,0.65,0.37,27.93,56.52,3
Loamy,82.54,27.62,156.83,7.07,0.61,0.27,19.36,90.79,3
Alluvial,88.44,11.99,46.5,7.09,0.41,0.61,30.97,93.07,0
Silty,100.34,63.22,264.27,6.21,0.54,1.49,34.95,53.52,5
Alluvial,88.53,81.19,34.74,6.35,0.66,1.12,26.29,54.68,0
Alluvial,13.48,2.77,78.02,7.2,0.77,0.3,24.3,45.23,0
Sandy,53.14,59.96,166.68,6.8,0.49,0.1,22.16,75.37,4
Alluvial,53.52,9.28,234.36,6.82,0.49,1.31,32.52,66.88,0
Clayey,124.8,7.68,272.8,6.82,1.3,1.03,37.92,53.24,2
Silty,58.41,5.58,186.05,6.27,0.61,1.04,22.96,56.51,5
Loamy,10.2,60.05,75.99,6.14,0.74,0.9,29.25,47.33,3
Loamy,75.52,79.73,166.3,6.98,1.12,0.91,26.42,69.39,3
Alluvial,80.33,51.89,36.9,6.59,1.14,1.14,18.17,79.08,0
Alluvial,10.16,33.77,59.24,7.14,0.82,0.31,34.62,77.08,0
Sandy,17.92,80.44,89.97,5.51,0.21,0.07,37.4,72.85,4
Sandy,8.36,9.75,191.73,6.73,0.11,0.38,22.38,81.71,4
Black,125.64,85.38,199.16,7.28,0.99,1.47,22.26,59.8,1
Black,55.48,66.43,234.93,8.21,0.9,1.05,31.22,40.71,1
Black,75.61,40.31,79.86,8.16,1.16,1.7,37.42,68.45,1
Alluvial,117.7,82.1,106.81,7.16,1.13,0.61,27.31,87.57,0
Alluvial,134.31,10.7,210.24,7.08,1.1,0.35,27.19,77.41,0
Loamy,78.42,59.55,42.42,7.15,0.75,1.47,23.33,79.51,3
Silty,86.81,11.78,189.08,7.28,0.75,1.36,32.82,56.18,5
Black,11.01,34.86,165.94,8.4,1.02,0.68,35.99,82.98,1
Silty,69.48,60.71,37.05,6.9,0.92,0.61,24.82,81.11,5
Sandy,11.97,52.28,247.62,5.93,0.19,0.3,23.81,84.39,4
Black,2.04,44.38,16.6,7.74,1.885,1.38,35.74,48.86,1
Black,58.73,57.6,18.88,7.94,0.84,1.25,36.89,40.15,1
Black,10.63,14.12,105.25,8.09,1.11,0.98,29.38,74.01,1
Sandy,2.38,43.63,196.95,6.82,0.29,0.15,19.18,69.12,4
Alluvial,51.97,27.88,181.09,6.27,0.91,0.49,36.08,47.34,0
Sandy,51.16,37.3,221.16,6.79,0.2,0.29,30.75,92.69,4
Clayey,13.42,51.28,35.28,7.13,0.98,0.87,25.15,81.94,2
