Soil_Type,Crop_Recommended,Nitrogen,Phosphorus,Potassium,pH,Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status
Black,Wheat,79.82,50.03,33.57,7.53,57.59,1.9,1.57,36.08,42.44,84.55,Excellent,Potassium,Moderately Fertile
Loamy,Groundnut,73.76,32.48,133.24,7.36,38.19,0.58,0.38,20.79,67.9,75.83,Good,None,Fertile
Alluvial,Rice,111.5,67.94,253.85,6.38,25.96,0.41,0.72,33.21,42.65,80.73,Excellent,None,Fertile
Sandy,Tomato,28.85,6.64,39.06,6.38,21.27,0.35,0.34,35.12,52.69,50.23,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Loamy,Wheat,90.22,23.85,11.08,7.39,43.66,1.04,1.13,22.93,47.88,70.65,Good,"Phosphorus, Potassium",Infertile
Loamy,Groundnut,105.47,24.68,199.77,7.47,33.95,1.12,0.2,33.27,63.61,84.21,Excellent,Phosphorus,Moderately Fertile
Clayey,Rice,11.3,9.34,242.68,8.11,62.82,1.27,0.55,32.06,44.77,66.95,Good,"Nitrogen, Phosphorus",Infertile
Sandy,Tomato,58.74,56.76,36.97,6.83,12.26,0.3,0.18,22.46,75.94,65.26,Good,Potassium,Moderately Fertile
Loamy,Groundnut,12.88,13.22,220.47,6.59,43.6,1.01,1.01,19.99,61.82,71.67,Good,"Nitrogen, Phosphorus",Infertile
Loamy,Soybean,9.19,26.11,96.89,6.86,46.04,0.51,1.02,19.45,59.51,61.05,Good,"Nitrogen, Potassium",Infertile
Loamy,Groundnut,132.46,41.07,179.1,7.19,27.24,0.92,0.78,28.01,93.99,87.38,Excellent,None,Fertile
Sandy,Groundnut,58.27,21.94,234.86,5.53,10.31,0.18,0.38,23.52,59.29,63.01,Good,Phosphorus,Moderately Fertile
Black,Soybean,123.33,81.05,91.2,7.74,35.47,0.88,0.54,29.49,82.26,78.74,Good,Potassium,Moderately Fertile
Black,Sugarcane,10.49,37.03,49.47,7.3,35.78,0.98,1.28,21.83,90.12,66.32,Good,"Nitrogen, Potassium",Infertile
Silty,Rice,86.54,88.77,222.62,7.23,30.59,1.08,0.79,37.32,68.29,89.85,Excellent,None,Fertile
Sandy,Potato,66.19,4.61,262.84,6.43,11.49,0.42,0.12,20.92,74.78,67.05,Good,Phosphorus,Moderately Fertile
Sandy,Potato,90.94,69.82,100.4,5.82,21.01,0.49,0.13,18.4,69.77,74.86,Good,None,Fertile
Loamy,Potato,89.15,42.48,18.68,7.45,37.1,0.82,1.08,34.54,48.6,72.74,Good,Potassium,Moderately Fertile
Alluvial,Jute,59.54,85.06,13.78,6.63,29.65,0.64,0.78,32.99,43.93,70.0,Good,Potassium,Moderately Fertile
Loamy,Wheat,91.3,27.3,153.48,6.39,37.89,0.51,1.47,33.12,68.66,78.22,Good,None,Fertile
Loamy,Groundnut,115.87,9.78,86.11,7.33,28.79,0.61,0.31,28.2,68.65,65.76,Good,"Phosphorus, Potassium",Infertile
Sandy,Potato,26.01,77.24,238.1,6.81,5.2,0.2,0.09,31.36,76.62,68.28,Good,Nitrogen,Moderately Fertile
Loamy,Wheat,81.42,20.57,61.65,6.02,47.44,0.67,1.42,34.31,90.51,68.94,Good,"Phosphorus, Potassium",Infertile
Loamy,Tomato,138.1,39.21,144.51,6.9,45.73,0.43,1.49,33.05,83.6,79.92,Good,None,Fertile
Loamy,Soybean,9.45,59.31,88.4,6.13,37.4,0.77,1.09,28.85,52.22,68.25,Good,"Nitrogen, Potassium",Infertile
Alluvial,Maize,9.35,13.7,250.31,6.06,31.66,0.72,1.08,35.89,68.85,63.76,Good,"Nitrogen, Phosphorus",Infertile
Sandy,Potato,128.69,57.9,202.45,6.6,13.21,0.44,0.39,31.76,78.76,82.33,Excellent,None,Fertile
Alluvial,Sugarcane,125.39,80.65,23.22,6.22,33.75,1.01,0.92,22.18,92.12,78.66,Good,Potassium,Moderately Fertile
Clayey,Wheat,93.2,76.17,22.95,7.88,54.89,1.5,0.69,36.32,56.38,82.31,Excellent,Potassium,Moderately Fertile
Black,Soybean,135.4,14.86,254.57,7.47,49.2,1.8,1.42,24.09,67.51,87.27,Excellent,Phosphorus,Moderately Fertile
Silty,Rice,70.84,85.99,36.92,6.37,37.66,0.83,1.14,20.79,71.37,76.11,Good,Potassium,Moderately Fertile
Loamy,Soybean,55.86,72.42,218.97,6.33,31.13,1.01,0.12,34.27,40.25,86.46,Excellent,None,Fertile
Sandy,Groundnut,17.29,24.82,81.11,6.61,6.68,0.17,0.22,22.77,52.46,56.15,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Sandy,Potato,13.99,21.87,35.53,6.99,19.39,0.15,0.07,30.57,72.03,48.33,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Loamy,Potato,60.27,29.24,106.67,6.2,32.42,0.52,0.29,37.23,71.82,70.94,Good,None,Fertile
Black,Cotton,63.53,43.88,76.58,7.26,39.29,1.93,1.78,25.28,47.1,85.75,Excellent,Potassium,Moderately Fertile
Loamy,Potato,8.02,86.16,227.53,7.31,35.7,1.19,0.56,31.19,87.11,79.29,Good,Nitrogen,Moderately Fertile
Clayey,Sugarcane,123.82,36.82,53.87,6.38,73.28,1.44,0.52,33.7,65.0,88.3,Excellent,Potassium,Moderately Fertile
Sandy,Potato,56.02,8.09,13.51,7.07,9.13,0.24,0.26,33.51,84.49,49.88,Moderate,"Phosphorus, Potassium",Infertile
Sandy,Potato,3.02,57.48,81.87,6.02,24.67,0.2,0.28,23.24,63.79,56.55,Moderate,"Nitrogen, Potassium",Infertile
Sandy,Tomato,41.04,5.04,79.32,6.75,9.5,0.35,0.27,37.02,69.61,55.65,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Clayey,Wheat,51.9,78.69,259.86,7.97,59.13,0.68,2.49,25.07,79.57,68.86,Good,None,Fertile
Loamy,Maize,86.01,81.52,154.16,6.52,35.61,0.52,1.26,28.89,92.61,83.27,Excellent,None,Fertile
Loamy,Soybean,14.81,71.6,272.25,6.17,34.31,0.7,0.37,33.47,53.38,73.65,Good,Nitrogen,Moderately Fertile
Clayey,Sugarcane,7.44,51.2,202.88,6.11,41.25,1.29,1.84,19.55,84.29,79.92,Good,Nitrogen,Moderately Fertile
Loamy,Maize,125.17,7.73,112.08,6.06,35.3,0.46,0.67,35.4,81.04,65.84,Good,Phosphorus,Moderately Fertile
Alluvial,Jute,131.2,13.98,161.03,7.12,36.13,0.68,0.73,18.66,65.76,75.06,Good,Phosphorus,Moderately Fertile
Sandy,Tomato,18.51,49.59,147.84,6.17,20.14,0.14,0.13,37.13,63.86,64.74,Good,Nitrogen,Moderately Fertile
Sandy,Groundnut,51.32,46.17,160.92,6.11,14.92,0.24,0.19,37.65,43.3,71.77,Good,None,Fertile
Loamy,Maize,103.84,24.69,101.22,6.49,30.99,1.09,0.56,26.33,59.45,83.18,Excellent,Phosphorus,Moderately Fertile
Sandy,Potato,11.38,5.75,154.64,6.95,11.15,0.15,0.32,28.67,76.27,52.9,Moderate,"Nitrogen, Phosphorus",Infertile
Loamy,Potato,84.81,3.34,250.95,6.64,33.69,0.94,0.47,31.99,58.79,78.25,Good,Phosphorus,Moderately Fertile
Alluvial,Maize,11.54,38.4,275.64,6.63,37.05,0.43,0.75,21.62,72.5,70.07,Good,Nitrogen,Moderately Fertile
Black,Wheat,139.18,22.47,93.39,7.72,60.05,1.92,1.78,19.78,54.95,81.84,Excellent,"Phosphorus, Potassium",Infertile
Loamy,Groundnut,110.95,65.82,163.98,7.26,37.85,0.97,0.65,35.7,53.86,87.87,Excellent,None,Fertile
Loamy,Wheat,79.95,32.13,193.99,6.77,34.23,1.11,0.75,20.4,88.36,90.02,Excellent,None,Fertile
Loamy,Groundnut,107.49,52.58,222.1,7.05,29.61,0.62,0.67,33.16,73.98,83.08,Excellent,None,Fertile
Alluvial,Jute,83.4,65.8,148.95,6.81,45.56,0.84,0.41,34.72,77.29,87.86,Excellent,None,Fertile
Alluvial,Jute,98.46,21.67,33.75,6.21,44.73,0.66,0.85,30.97,61.46,67.61,Good,"Phosphorus, Potassium",Infertile
Silty,Jute,128.53,51.98,35.56,6.61,25.92,0.55,1.17,32.33,46.06,73.94,Good,Potassium,Moderately Fertile
Black,Cotton,13.98,74.55,186.2,7.71,58.61,1.95,0.62,23.39,55.62,83.45,Excellent,Nitrogen,Moderately Fertile
Loamy,Tomato,85.92,74.61,271.62,6.38,33.81,0.93,0.64,30.72,83.02,89.4,Excellent,None,Fertile
Silty,Rice,81.91,30.09,258.88,6.14,29.75,0.67,0.96,35.05,71.89,80.56,Excellent,None,Fertile
Alluvial,Sugarcane,51.66,14.96,252.02,6.81,28.13,0.53,1.05,35.38,59.65,69.71,Good,Phosphorus,Moderately Fertile
Silty,Jute,59.5,89.31,91.03,6.83,27.83,0.75,0.74,21.97,68.97,77.69,Good,Potassium,Moderately Fertile
Alluvial,Jute,101.14,41.87,274.46,6.06,37.44,0.62,1.05,28.15,70.37,82.63,Excellent,None,Fertile
Alluvial,Sugarcane,124.69,62.72,214.0,7.47,48.61,0.73,1.05,36.73,92.79,82.82,Excellent,None,Fertile
Sandy,Potato,98.33,34.71,143.63,6.39,12.71,0.48,0.36,32.29,62.13,79.62,Good,None,Fertile
Silty,Tomato,105.52,4.75,171.69,6.28,34.76,1.13,0.42,22.6,42.08,80.48,Excellent,Phosphorus,Moderately Fertile
Loamy,Groundnut,131.52,33.49,218.3,6.58,28.18,0.45,1.49,22.38,67.41,80.23,Excellent,None,Fertile
Alluvial,Rice,122.34,46.16,159.77,6.95,28.3,0.81,1.07,34.21,63.52,86.75,Excellent,None,Fertile
Alluvial,Jute,70.73,56.35,229.54,6.54,29.37,0.67,0.41,33.73,60.05,84.32,Excellent,None,Fertile
Silty,Tomato,108.12,26.77,134.34,6.75,42.58,0.68,1.35,35.25,51.71,79.78,Good,None,Fertile
Silty,Jute,118.7,11.77,161.63,6.47,30.82,1.14,1.14,23.01,46.29,83.94,Excellent,Phosphorus,Moderately Fertile
Black,Cotton,75.34,15.9,265.36,7.65,35.43,1.68,1.23,27.88,44.7,85.94,Excellent,Phosphorus,Moderately Fertile
Loamy,Tomato,4.09,3.64,70.03,6.11,36.7,0.47,1.21,18.15,63.27,48.5,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Alluvial,Maize,12.15,53.51,214.89,6.1,36.31,0.81,0.15,30.1,61.57,74.69,Good,Nitrogen,Moderately Fertile
Loamy,Potato,8.53,84.86,144.48,6.77,47.68,1.14,0.85,20.55,63.8,80.75,Excellent,Nitrogen,Moderately Fertile
Clayey,Wheat,71.7,27.79,268.04,6.78,71.94,1.35,1.88,37.17,79.87,88.87,Excellent,None,Fertile
Alluvial,Sugarcane,110.61,43.76,248.1,6.65,35.47,0.73,0.15,24.65,47.3,86.92,Excellent,None,Fertile
Loamy,Potato,88.85,36.58,132.83,7.16,46.94,0.48,0.64,30.06,94.99,77.53,Good,None,Fertile
Silty,Jute,116.7,30.73,116.02,7.04,38.97,0.84,0.39,37.81,60.58,80.69,Excellent,None,Fertile
Clayey,Sugarcane,67.83,53.75,279.29,7.21,59.62,1.13,1.46,29.32,42.44,88.76,Excellent,None,Fertile
Sandy,Groundnut,99.23,30.53,197.77,6.76,8.96,0.47,0.2,37.16,82.33,78.88,Good,None,Fertile
Alluvial,Cotton,13.46,31.79,238.02,6.29,46.22,0.81,1.09,19.67,82.52,73.12,Good,Nitrogen,Moderately Fertile
Alluvial,Jute,111.46,82.27,87.78,7.09,47.91,0.72,1.05,19.72,43.05,79.02,Good,Potassium,Moderately Fertile
Loamy,Wheat,92.17,7.94,221.49,6.1,25.22,0.55,1.06,27.08,74.67,70.98,Good,Phosphorus,Moderately Fertile
Black,Cotton,59.9,39.09,175.04,7.22,48.54,1.84,0.61,21.86,84.11,93.25,Excellent,None,Fertile
Clayey,Rice,81.64,27.98,99.58,7.5,53.15,1.05,0.65,21.61,89.59,79.51,Good,Potassium,Moderately Fertile
Loamy,Potato,10.52,45.78,38.08,6.83,36.85,1.14,0.4,30.11,60.1,71.32,Good,"Nitrogen, Potassium",Infertile
Clayey,Sugarcane,100.45,8.12,250.7,6.41,40.93,1.02,0.62,19.4,63.05,80.42,Excellent,Phosphorus,Moderately Fertile
Clayey,Wheat,59.87,35.51,74.08,7.9,49.16,1.43,1.34,26.17,46.14,80.73,Excellent,Potassium,Moderately Fertile
Alluvial,Cotton,94.83,81.81,271.6,7.11,48.77,0.57,1.1,25.24,75.81,81.95,Excellent,None,Fertile
Alluvial,Maize,9.76,28.14,38.8,6.12,27.86,0.5,1.39,19.19,60.54,55.39,Moderate,"Nitrogen, Potassium",Infertile
Loamy,Wheat,80.01,45.32,15.88,6.39,42.01,0.6,0.94,26.99,67.13,72.03,Good,Potassium,Moderately Fertile
Loamy,Maize,77.46,2.94,208.58,7.12,44.65,0.54,0.25,24.54,55.92,68.62,Good,Phosphorus,Moderately Fertile
Black,Wheat,95.98,27.13,167.95,7.75,50.42,0.81,1.34,37.58,44.04,78.46,Good,None,Fertile
Silty,Tomato,107.32,51.75,138.52,6.81,45.45,1.13,0.38,21.84,66.85,91.76,Excellent,None,Fertile
Loamy,Wheat,55.23,52.12,164.86,7.29,27.21,1.13,0.85,35.21,45.37,86.26,Excellent,None,Fertile
Silty,Tomato,131.42,11.11,166.33,6.29,49.29,0.77,1.46,26.46,68.88,76.65,Good,Phosphorus,Moderately Fertile
Loamy,Potato,130.31,8.48,226.19,7.48,49.04,1.18,1.21,36.24,79.19,79.76,Good,Phosphorus,Moderately Fertile
Alluvial,Cotton,8.49,63.66,120.66,6.92,33.16,0.87,0.54,36.72,71.11,73.37,Good,Nitrogen,Moderately Fertile
Sandy,Tomato,10.03,58.67,120.54,5.64,8.65,0.35,0.13,33.05,60.63,61.75,Good,Nitrogen,Moderately Fertile
Loamy,Soybean,90.42,52.91,215.52,7.38,49.09,1.15,1.29,31.92,88.99,90.27,Excellent,None,Fertile
Loamy,Groundnut,131.03,27.48,186.37,7.18,42.44,0.95,0.56,25.84,94.43,83.76,Excellent,None,Fertile
Sandy,Tomato,26.8,53.4,21.43,6.07,15.95,0.24,0.2,28.75,55.34,56.05,Moderate,"Nitrogen, Potassium",Infertile
Silty,Tomato,138.29,11.6,166.62,7.33,41.73,0.7,0.4,24.83,55.23,73.55,Good,Phosphorus,Moderately Fertile
Loamy,Soybean,88.87,9.91,15.01,6.02,36.65,0.66,1.17,24.74,41.72,61.07,Good,"Phosphorus, Potassium",Infertile
Alluvial,Jute,62.4,63.69,274.79,7.0,40.71,0.76,0.21,28.64,51.77,82.73,Excellent,None,Fertile
Black,Soybean,73.82,68.06,83.58,8.27,55.21,1.49,1.78,33.65,48.12,82.87,Excellent,Potassium,Moderately Fertile
Clayey,Sugarcane,69.6,65.47,206.82,8.04,62.55,0.96,1.35,36.45,79.22,82.07,Excellent,None,Fertile
Loamy,Groundnut,63.0,54.24,101.48,6.48,34.34,0.91,0.83,22.66,61.94,82.42,Excellent,None,Fertile
Loamy,Wheat,2.65,78.42,13.1,6.35,37.47,1.04,1.01,28.64,59.59,66.02,Good,"Nitrogen, Potassium",Infertile
Black,Wheat,121.2,7.31,141.35,7.65,36.31,1.28,0.58,19.84,74.05,79.42,Good,Phosphorus,Moderately Fertile
Clayey,Rice,55.43,73.81,38.75,6.98,74.27,1.14,1.95,32.01,41.26,75.42,Good,Potassium,Moderately Fertile
Black,Cotton,89.43,38.71,171.55,7.6,48.73,1.21,1.05,22.76,94.38,89.74,Excellent,None,Fertile
Sandy,Tomato,83.93,82.73,227.35,6.81,9.56,0.47,0.3,33.01,93.4,81.78,Excellent,None,Fertile
Black,Sugarcane,57.42,68.88,166.63,7.86,58.28,1.54,0.5,37.07,50.07,89.94,Excellent,None,Fertile
Loamy,Tomato,80.89,64.97,154.65,6.12,43.06,1.05,1.29,21.81,70.4,90.1,Excellent,None,Fertile
Black,Sugarcane,134.47,63.02,241.08,7.67,60.69,1.95,1.36,33.32,60.85,94.65,Excellent,None,Fertile
Silty,Tomato,55.13,39.95,145.96,6.13,47.35,0.98,0.75,30.18,40.36,84.46,Excellent,None,Fertile
Loamy,Wheat,96.31,17.0,193.96,6.79,28.26,1.04,1.09,36.22,45.13,83.72,Excellent,Phosphorus,Moderately Fertile
Black,Soybean,94.0,63.26,122.84,7.98,64.75,1.14,1.38,36.89,78.8,84.69,Excellent,None,Fertile
Loamy,Soybean,92.34,33.62,214.82,7.16,44.17,1.15,0.7,33.96,51.16,89.24,Excellent,None,Fertile
Loamy,Tomato,116.44,68.75,24.47,7.43,39.78,0.5,0.36,35.91,64.41,68.03,Good,Potassium,Moderately Fertile
Alluvial,Maize,138.53,5.04,28.46,7.29,47.78,0.72,0.99,19.51,40.7,61.09,Good,"Phosphorus, Potassium",Infertile
Black,Wheat,80.72,87.33,178.54,7.46,38.89,1.81,1.45,34.02,54.55,95.7,Excellent,None,Fertile
Silty,Tomato,81.75,79.73,107.22,6.41,38.82,0.85,1.13,28.93,78.65,84.41,Excellent,None,Fertile
Alluvial,Cotton,104.79,80.1,250.94,6.49,45.14,0.98,0.75,20.17,63.56,90.78,Excellent,None,Fertile
Alluvial,Cotton,88.63,81.79,102.11,6.69,27.4,1.07,1.15,22.98,91.66,88.13,Excellent,None,Fertile
Silty,Tomato,68.13,13.36,272.6,6.3,25.93,1.02,1.27,34.14,59.84,79.64,Good,Phosphorus,Moderately Fertile
Loamy,Potato,106.01,46.98,263.92,6.22,36.18,1.1,0.82,25.84,62.16,91.43,Excellent,None,Fertile
Loamy,Soybean,68.11,57.24,70.61,6.01,32.55,0.62,1.31,37.72,65.53,73.34,Good,Potassium,Moderately Fertile
Sandy,Potato,8.52,56.94,38.16,6.61,15.99,0.41,0.14,20.44,70.17,59.93,Moderate,"Nitrogen, Potassium",Infertile
Loamy,Groundnut,13.47,8.06,265.79,6.88,35.81,0.73,0.16,19.99,87.02,64.03,Good,"Nitrogen, Phosphorus",Infertile
Loamy,Maize,132.99,14.08,149.83,6.11,35.04,0.46,1.17,32.46,61.63,71.56,Good,Phosphorus,Moderately Fertile
Sandy,Potato,47.55,37.17,137.04,5.94,12.52,0.3,0.18,26.07,79.2,69.2,Good,Nitrogen,Moderately Fertile
Black,Sugarcane,124.33,35.05,10.48,7.79,36.82,0.91,0.45,36.19,86.03,70.16,Good,Potassium,Moderately Fertile
Sandy,Groundnut,19.05,3.81,183.95,5.73,10.85,0.32,0.07,29.02,53.78,53.76,Moderate,"Nitrogen, Phosphorus",Infertile
Sandy,Potato,139.71,17.92,200.66,5.56,17.95,0.47,0.27,23.06,61.56,70.27,Good,Phosphorus,Moderately Fertile
Loamy,Potato,67.98,2.98,69.3,6.69,33.54,1.17,1.22,22.21,60.13,72.53,Good,"Phosphorus, Potassium",Infertile
Alluvial,Jute,9.91,75.69,251.47,6.17,39.22,0.76,0.71,22.69,46.24,73.84,Good,Nitrogen,Moderately Fertile
Sandy,Groundnut,56.17,79.44,228.15,5.83,19.26,0.47,0.07,29.49,44.6,75.01,Good,None,Fertile
Black,Soybean,61.49,74.2,171.38,7.79,37.19,1.68,0.82,36.03,67.25,90.96,Excellent,None,Fertile
Black,Sugarcane,114.97,71.88,67.45,7.97,44.69,1.24,0.46,26.88,49.73,81.48,Excellent,Potassium,Moderately Fertile
Alluvial,Cotton,94.51,8.4,276.34,6.04,32.29,1.08,0.74,29.76,54.11,79.67,Good,Phosphorus,Moderately Fertile
Silty,Jute,4.9,6.02,256.91,6.98,33.54,0.66,0.15,21.36,40.53,60.26,Good,"Nitrogen, Phosphorus",Infertile
Black,Cotton,64.71,37.43,170.52,7.37,45.46,1.39,0.98,29.85,66.74,90.91,Excellent,None,Fertile
Loamy,Potato,69.91,25.67,62.66,6.4,26.79,0.66,0.43,36.68,47.93,70.78,Good,Potassium,Moderately Fertile
Black,Cotton,73.65,56.06,235.55,7.73,58.69,0.93,1.57,33.57,88.95,83.37,Excellent,None,Fertile
Black,Sugarcane,6.82,36.15,252.09,7.68,39.64,1.83,0.86,18.51,62.35,81.12,Excellent,Nitrogen,Moderately Fertile
Black,Wheat,99.16,4.68,199.78,7.54,43.21,1.51,0.6,27.83,82.46,83.53,Excellent,Phosphorus,Moderately Fertile
Silty,Tomato,55.36,54.44,227.84,6.81,45.26,1.01,0.78,29.48,54.59,86.68,Excellent,None,Fertile
Loamy,Maize,10.0,42.22,259.88,6.58,40.0,0.59,0.92,23.86,57.76,73.07,Good,Nitrogen,Moderately Fertile
Loamy,Soybean,69.87,67.26,160.45,6.46,48.92,1.0,0.89,28.41,44.05,89.28,Excellent,None,Fertile
Silty,Jute,136.87,86.8,33.87,7.13,40.78,0.85,1.35,32.51,69.18,76.19,Good,Potassium,Moderately Fertile
Silty,Jute,12.66,5.23,88.92,6.44,46.42,0.89,1.04,34.65,74.21,60.79,Good,"Nitrogen, Phosphorus, Potassium",Infertile
Sandy,Groundnut,22.79,29.79,270.02,5.78,18.06,0.36,0.28,19.35,63.58,63.96,Good,Nitrogen,Moderately Fertile
Black,Cotton,100.58,22.61,214.08,7.4,46.62,1.17,0.44,18.74,54.27,84.7,Excellent,Phosphorus,Moderately Fertile
Alluvial,Maize,115.25,11.87,73.64,6.08,44.93,0.67,1.36,37.75,59.85,67.4,Good,"Phosphorus, Potassium",Infertile
Silty,Jute,73.11,58.9,111.18,7.4,35.89,0.85,0.98,22.34,44.67,80.57,Excellent,None,Fertile
Loamy,Potato,62.96,81.27,277.0,6.19,35.37,1.12,0.61,23.78,47.9,88.78,Excellent,None,Fertile
Alluvial,Jute,138.18,6.34,33.36,7.32,39.88,0.95,0.65,27.44,86.9,65.65,Good,"Phosphorus, Potassium",Infertile
Loamy,Potato,70.69,37.03,279.54,6.6,44.97,0.44,0.32,34.51,88.61,79.79,Good,None,Fertile
Sandy,Tomato,99.78,52.94,209.48,6.7,5.28,0.46,0.13,22.14,48.75,82.17,Excellent,None,Fertile
Silty,Jute,3.73,87.14,132.86,6.22,27.79,0.95,0.53,24.95,64.45,74.7,Good,Nitrogen,Moderately Fertile
Silty,Tomato,76.78,56.76,139.91,6.85,47.19,1.18,0.88,24.04,43.7,91.98,Excellent,None,Fertile
Black,Cotton,92.86,89.02,139.9,8.28,53.26,1.27,0.99,30.99,42.77,86.87,Excellent,None,Fertile
Loamy,Tomato,66.28,46.96,21.46,6.37,42.73,1.09,1.48,33.83,88.61,78.3,Good,Potassium,Moderately Fertile
Loamy,Tomato,139.47,52.99,207.53,6.94,38.99,0.44,1.4,19.12,74.75,80.63,Excellent,None,Fertile
Loamy,Potato,70.79,2.32,178.3,6.4,38.97,0.54,0.95,28.91,53.46,68.9,Good,Phosphorus,Moderately Fertile
Alluvial,Cotton,79.24,8.58,41.43,6.54,49.51,1.04,1.3,36.91,47.91,71.78,Good,"Phosphorus, Potassium",Infertile
Black,Soybean,59.79,84.57,143.08,7.92,56.58,1.14,1.4,32.69,67.56,83.42,Excellent,None,Fertile
Loamy,Potato,14.95,37.1,10.61,7.04,36.01,0.71,1.04,19.94,52.97,60.43,Good,"Nitrogen, Potassium",Infertile
Black,Wheat,66.84,72.58,268.95,7.98,48.18,1.74,1.69,29.6,77.51,89.77,Excellent,None,Fertile
Silty,Tomato,97.88,24.12,188.75,6.32,40.72,1.03,0.34,23.83,83.53,85.47,Excellent,Phosphorus,Moderately Fertile
Alluvial,Sugarcane,78.83,25.66,233.26,6.03,49.82,0.9,0.15,34.9,54.22,82.18,Excellent,None,Fertile
Loamy,Tomato,64.63,80.61,85.67,6.0,32.83,0.96,0.64,20.26,77.52,79.72,Good,Potassium,Moderately Fertile
Loamy,Wheat,94.61,11.03,267.66,6.06,37.64,0.92,0.55,33.93,50.56,77.98,Good,Phosphorus,Moderately Fertile
Sandy,Groundnut,76.5,54.64,261.54,5.54,13.94,0.45,0.3,20.04,73.06,76.62,Good,None,Fertile
Loamy,Potato,3.04,51.78,38.77,7.12,25.04,0.99,1.15,18.32,70.93,66.19,Good,"Nitrogen, Potassium",Infertile
Loamy,Potato,7.07,38.9,95.12,6.52,49.58,0.45,0.92,35.15,60.61,64.7,Good,"Nitrogen, Potassium",Infertile
Sandy,Groundnut,31.01,17.06,28.0,6.2,6.13,0.34,0.31,21.09,66.49,52.01,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Clayey,Sugarcane,81.84,61.09,38.97,6.54,58.32,1.26,1.61,20.74,86.47,85.17,Excellent,Potassium,Moderately Fertile
Clayey,Sugarcane,90.85,80.35,253.98,6.95,73.28,1.12,2.09,22.77,50.96,88.38,Excellent,None,Fertile
Silty,Jute,136.06,71.19,36.77,6.98,40.2,0.7,0.81,32.97,92.23,74.7,Good,Potassium,Moderately Fertile
Loamy,Wheat,114.39,74.47,94.98,6.44,39.97,0.76,0.94,24.01,76.36,81.98,Excellent,Potassium,Moderately Fertile
Clayey,Sugarcane,134.4,76.13,33.55,6.21,48.92,0.74,1.89,36.13,62.47,72.69,Good,Potassium,Moderately Fertile
Alluvial,Jute,8.26,77.03,72.41,7.01,41.87,1.0,0.44,31.95,52.35,70.76,Good,"Nitrogen, Potassium",Infertile
Black,Soybean,125.9,56.26,252.92,7.22,37.48,1.72,0.64,27.69,90.96,96.9,Excellent,None,Fertile
Alluvial,Cotton,69.11,15.97,184.36,6.76,34.49,0.99,0.31,37.04,57.09,80.88,Excellent,Phosphorus,Moderately Fertile
Black,Sugarcane,122.07,46.86,26.59,7.81,40.37,1.39,0.91,36.11,69.96,81.15,Excellent,Potassium,Moderately Fertile
Loamy,Groundnut,6.17,56.54,90.24,6.93,30.36,0.78,0.74,26.93,46.75,68.73,Good,"Nitrogen, Potassium",Infertile
Loamy,Groundnut,14.66,60.74,232.02,7.33,38.83,1.15,1.39,34.71,71.78,79.63,Good,Nitrogen,Moderately Fertile
Sandy,Groundnut,96.5,89.35,43.66,6.61,14.01,0.4,0.24,27.82,45.03,72.16,Good,Potassium,Moderately Fertile
Clayey,Sugarcane,123.4,60.2,30.06,7.17,73.14,0.9,1.78,33.26,81.08,74.81,Good,Potassium,Moderately Fertile
Sandy,Potato,66.45,81.67,25.15,6.05,17.16,0.5,0.15,20.11,94.0,67.23,Good,Potassium,Moderately Fertile
Loamy,Groundnut,126.38,23.03,97.72,6.56,38.57,0.93,1.25,18.87,60.04,80.0,Excellent,"Phosphorus, Potassium",Infertile
Silty,Tomato,119.67,42.24,210.64,6.96,26.32,0.54,0.98,31.68,92.99,82.2,Excellent,None,Fertile
Alluvial,Jute,73.15,38.27,83.46,6.87,47.22,0.77,0.68,29.44,78.36,78.85,Good,Potassium,Moderately Fertile
Loamy,Soybean,108.33,9.63,103.29,6.21,28.76,0.68,0.94,27.0,52.56,70.11,Good,Phosphorus,Moderately Fertile
Sandy,Groundnut,131.29,23.38,149.12,6.72,7.85,0.42,0.35,30.4,72.79,75.78,Good,Phosphorus,Moderately Fertile
Silty,Rice,11.94,23.62,201.6,6.91,48.53,0.86,0.8,27.05,68.46,70.98,Good,"Nitrogen, Phosphorus",Infertile
Sandy,Potato,33.41,64.42,185.36,6.85,15.45,0.35,0.19,32.05,83.19,71.82,Good,Nitrogen,Moderately Fertile
Alluvial,Maize,138.6,67.51,51.1,6.83,43.82,0.54,1.26,25.9,68.45,74.06,Good,Potassium,Moderately Fertile
Alluvial,Rice,67.59,22.01,44.55,6.51,39.42,0.5,0.43,35.46,55.89,65.44,Good,"Phosphorus, Potassium",Infertile
Loamy,Wheat,102.69,50.18,78.89,6.56,30.21,0.89,1.11,32.6,84.08,83.31,Excellent,Potassium,Moderately Fertile
